county,state,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,mean_2010,mean_2011,mean_2012,mean_2013,mean_2014,mean_2015,mean_2016,mean_2017,mean_2018,mean_2019
harrison county,OH,N/A,39,67,1882,83583.33333333333,83583.33333333333,83583.33333333333,83583.33333333333,83583.33333333333,90812.5,91975.0,94479.125,87633.33333333333,84075.0
gulf county,FL,Panama City,12,45,1883,280050.0,280050.0,280050.0,280050.0,280050.0,280050.0,280050.0,308933.3333333333,334715.625,314450.0
lawrence county,KY,N/A,21,127,1884,134400.0,134400.0,134400.0,134400.0,134400.0,134400.0,134400.0,134400.0,132900.0,152100.0
nottoway county,VA,N/A,51,135,1885,141857.14285714287,141857.14285714287,141857.14285714287,141857.14285714287,141857.14285714287,131045.625,137619.79166666666,131462.375,134908.33333333334,140975.0
marshall county,OK,N/A,40,95,1886,175695.0,175695.0,175695.0,175695.0,175695.0,175695.0,175695.0,175695.0,185391.66666666666,213725.0
san juan county,WA,N/A,53,55,1887,717498.3333333334,629505.8333333334,574229.1666666666,615250.0,630083.3333333334,683250.0,639679.1666666666,691620.8333333334,710587.9583333334,734500.0
hale county,AL,Tuscaloosa,1,65,1888,124811.11111111111,124811.11111111111,124811.11111111111,124811.11111111111,124811.11111111111,124811.11111111111,124811.11111111111,129437.5,124679.16666666667,142900.0
otoe county,NE,N/A,31,131,1889,123050.0,123050.0,123050.0,129366.66666666667,121570.83333333333,127766.66666666667,117895.83333333333,125383.33333333333,148633.33333333334,154250.0
madison county,IA,Des Moines-West Des Moines,19,121,1890,173766.66666666666,159270.83333333334,159150.0,156487.5,162912.5,188154.16666666666,224891.66666666666,229504.16666666666,222879.0,224050.0
hamilton county,IA,N/A,19,79,1891,103400.0,103400.0,103400.0,103400.0,103400.0,103400.0,103400.0,99675.0,122729.16666666667,118175.0
dent county,MO,N/A,29,65,1892,118895.83333333333,101600.0,106733.25,98500.0,107070.83333333333,100316.66666666667,96291.25,105570.41666666667,120820.83333333333,112900.0
park county,MT,N/A,30,67,1893,311510.0,311510.0,311510.0,311510.0,311510.0,370037.5,340045.8333333333,387929.1666666667,414774.8333333333,403750.0
roseau county,MN,N/A,27,135,1894,150900.0,150900.0,150900.0,150900.0,150900.0,150900.0,127533.33333333333,140295.83333333334,146975.0,160425.0
west feliciana parish,LA,Baton Rouge,22,125,1895,353225.0,353225.0,353225.0,353225.0,353225.0,353225.0,353225.0,353225.0,345675.0,343000.0
mitchell county,NC,N/A,37,121,1896,188266.66666666666,174783.33333333334,182904.16666666666,187945.83333333334,180550.0,187812.33333333334,197208.33333333334,205704.16666666666,207216.66666666666,224750.0
macon county,MO,N/A,29,121,1897,121980.0,121980.0,121980.0,121980.0,121980.0,121980.0,121980.0,126908.33333333333,140062.5,133068.25
grayson county,VA,N/A,51,77,1898,161650.0,173087.5,171412.5,168029.16666666666,165191.58333333334,161716.625,151862.5,162262.41666666666,184200.0,192725.0
pecos county,TX,N/A,48,371,1899,124966.66666666667,124966.66666666667,137520.83333333334,141208.33333333334,132383.33333333334,153154.125,145354.08333333334,152270.83333333334,158850.0,139000.0
las animas county,CO,N/A,8,71,1899,204038.88888888888,204038.88888888888,204038.88888888888,204038.88888888888,204038.88888888888,204038.88888888888,204038.88888888888,204038.88888888888,235195.83333333334,217000.0
gooding county,ID,N/A,16,47,1901,140112.5,128170.83333333333,140379.16666666666,149508.33333333334,141916.66666666666,163700.0,159897.5,140175.0,174212.5,174950.0
burnett county,WI,N/A,55,13,1902,178495.83333333334,165979.16666666666,154779.16666666666,152991.66666666666,163412.5,162137.5,168554.16666666666,174116.66666666666,171441.66666666666,165975.0
alamosa county,CO,N/A,8,3,1903,159836.31818181818,159836.31818181818,159836.31818181818,159836.31818181818,159836.31818181818,174816.66666666666,164704.16666666666,172897.08333333334,216675.0,219790.0
massac county,IL,Paducah,17,127,1904,91960.0,91960.0,91960.0,91960.0,91960.0,91960.0,93129.16666666667,90137.45833333333,85350.0,83850.0
marquette county,WI,N/A,55,77,1905,148566.66666666666,139016.66666666666,131608.33333333334,128466.66666666667,139062.5,137120.83333333334,135829.16666666666,133799.91666666666,136441.54166666666,129900.0
carroll county,IL,N/A,17,15,1906,132131.81818181818,132131.81818181818,132131.81818181818,132131.81818181818,132131.81818181818,132131.81818181818,132131.81818181818,123579.125,135029.16666666666,136925.0
gunnison county,CO,N/A,8,51,1907,420791.6666666667,406429.1666666667,404054.1666666667,413750.0,402920.8333333333,446277.0833333333,471529.1666666667,550662.5,598916.6666666666,676250.0
floyd county,VA,Blacksburg-Christiansburg-Radford,51,63,1908,224586.72222222222,224586.72222222222,199875.0,197545.83333333334,204502.08333333334,210754.16666666666,214060.41666666666,233942.70833333334,225775.0,227000.0
brown county,IN,Indianapolis-Carmel-Anderson,18,13,1909,230733.33333333334,232133.33333333334,215775.0,221087.5,218450.0,222018.75,236295.79166666666,241963.875,287279.1666666667,296950.0
sibley county,MN,Minneapolis-St. Paul-Bloomington,27,143,1910,137050.0,137050.0,137050.0,137050.0,137050.0,137050.0,140170.83333333334,153666.66666666666,157275.0,156150.0
nolan county,TX,Sweetwater,48,353,1911,102322.22222222222,102322.22222222222,102322.22222222222,102322.22222222222,102322.22222222222,102322.22222222222,102322.22222222222,120373.625,118640.375,119825.0
calhoun county,SC,Columbia,45,17,1912,217475.0,217475.0,217475.0,217475.0,217475.0,217475.0,217475.0,217475.0,204575.0,209725.0
bourbon county,KS,N/A,20,11,1913,74427.77777777778,74427.77777777778,74427.77777777778,74427.77777777778,74427.77777777778,74427.77777777778,74427.77777777778,75304.16666666667,85737.5,84450.0
mills county,IA,Omaha-Council Bluffs,19,129,1914,126533.33333333333,126533.33333333333,126533.33333333333,126533.33333333333,143950.0,158845.83333333334,172962.5,168595.83333333334,171691.66666666666,176475.0
craig county,OK,N/A,40,35,1915,130000.0,130000.0,130000.0,130000.0,130000.0,124358.33333333333,131170.83333333334,125975.0,131500.0,122737.5
nelson county,VA,Charlottesville,51,125,1916,333783.2916666667,305120.8333333333,292599.875,291514.7916666667,263864.8333333333,275316.6666666667,270126.4583333333,285225.0,270154.1666666667,274816.75
bayfield county,WI,N/A,55,7,1917,214570.83333333334,191650.0,173364.58333333334,180320.83333333334,180908.33333333334,187937.5,188258.33333333334,201933.33333333334,198137.5,188575.0
appomattox county,VA,Lynchburg,51,11,1918,160320.83333333334,167995.83333333334,167962.5,173189.08333333334,172226.66666666666,167662.5,168833.33333333334,170462.5,175404.16666666666,167200.0
harrison county,IA,Omaha-Council Bluffs,19,85,1919,133105.55555555556,133105.55555555556,133105.55555555556,133105.55555555556,133105.55555555556,133105.55555555556,133105.55555555556,133105.55555555556,141812.5,120200.0
roane county,WV,N/A,54,87,1920,132337.5,132337.5,132337.5,132337.5,132337.5,132337.5,132337.5,132337.5,116042.33333333333,129225.0
oglethorpe county,GA,Athens-Clarke County,13,221,1921,139779.16666666666,133733.33333333334,131491.66666666666,133991.66666666666,141441.25,143945.83333333334,146349.58333333334,165916.66666666666,191933.33333333334,207700.0
butler county,IA,N/A,19,23,1922,120850.0,120850.0,120850.0,120850.0,120850.0,120850.0,112864.45833333333,116406.25,107922.91666666667,108625.0
missaukee county,MI,Cadillac,26,113,1923,102045.83333333333,99841.66666666667,100329.16666666667,99750.0,106191.66666666667,106825.0,120670.83333333333,133742.125,139295.83333333334,127450.0
moultrie county,IL,N/A,17,139,1924,118999.375,118999.375,118999.375,118999.375,118999.375,118999.375,99529.08333333333,95933.33333333333,94108.33333333333,97875.0
fulton county,PA,N/A,42,57,1925,178610.0,178610.0,178610.0,178610.0,178610.0,178610.0,178610.0,186350.0,173695.75,172450.0
grand county,CO,N/A,8,49,1926,358464.5833333333,321696.9583333333,293425.0,317618.5833333333,325966.6666666667,345245.8333333333,396884.0416666667,464416.6666666667,508629.1666666667,508000.0
andrews county,TX,Andrews,48,3,1927,245573.33333333334,245573.33333333334,245573.33333333334,245573.33333333334,245573.33333333334,245573.33333333334,208271.66666666666,211641.66666666666,229987.5,224750.0
rusk county,WI,N/A,55,107,1928,124791.66666666667,127508.33333333333,121383.33333333333,119095.83333333333,126475.0,137895.41666666666,143245.83333333334,131325.0,139058.33333333334,124950.0
washington county,IL,N/A,17,189,1929,116641.66666666667,116641.66666666667,116641.66666666667,116641.66666666667,116641.66666666667,125725.0,132562.5,125350.0,117541.66666666667,125075.0
